Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
55+,Male,Emirati,Business Owner,"10,001-20,000",Sharjah,Frequently,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Energy Drinks, Sports Drinks, Milk",Extremely Important,"Low Sugar, Natural Ingredients","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Cafes/Restaurants,<5,Likely,Maybe,Other,"Berries, Citrus, Plain","Immunity, Digestion, No Specific Issues","Too Expensive, Not Tasty, Good Value, High Quality","BrandE, BrandB",Likely,Yes,
35-44,Other,Other,Working Professional,"20,001-35,000",Ras Al Khaimah,Daily,Other,Vegetarian,"Water, Juices, Tea/Coffee, Milk",Very Important,"Taste, Low Sugar, Affordable Price, Convenience","Lack of Time, Cost, Limited Options",Online,5-10,Very Unlikely,Maybe,"Recommendations, Attractive Packaging, Health Benefits","Chocolate, Plain","Energy, Skin/Hair health","Good Value, Other","BrandE, Brand_Z",Neutral,Maybe,
35-44,Prefer not to say,Arab Expat,Other,">50,000",Ajman,Rarely,Social Media,Lactose-Free,"Water, Soft Drinks, Energy Drinks, Milk",Very Important,"Low Sugar, Brand Reputation, Convenience","Cost, Lack of Information",Supermarkets,>25,Very Likely,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Digestion, Skin/Hair health","Not Widely Available, Good Value, Other","BrandC, BrandB, Brand_W",Very Unlikely,Maybe,
Under 18,Other,Western Expat,Retired,"<5,000",Abu Dhabi,Never,Magazines/TV,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Energy Drinks",Somewhat Important,"Taste, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Limited Options",Cafes/Restaurants,16-25,Very Likely,Maybe,Free Samples,"Berries, Chocolate","Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available, Other","BrandC, BrandE, BrandA, Brand_F",Neutral,Yes,
Under 18,Prefer not to say,Arab Expat,Business Owner,"<5,000",Ras Al Khaimah,Daily,Social Media,Gluten-Free,"Water, Soft Drinks, Energy Drinks, Milk",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Convenience",Taste Preferences,Convenience Stores,16-25,Likely,Yes,"Recommendations, Attractive Packaging, Health Benefits, Other","Citrus, Other","Immunity, Energy, Skin/Hair health, Stress Relief","Not Widely Available, Good Value, Other","BrandE, Brand_W",Unlikely,Maybe,
Under 18,Other,Asian Expat,Homemaker,"35,001-50,000",Dubai,Rarely,Other,Vegan,"Water, Soft Drinks, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Low Sugar, Affordable Price, Convenience","Lack of Information, Limited Options",Other,<5,Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Berries, Citrus, Plain","Immunity, Energy, Stress Relief, No Specific Issues",Innovative,"Brand_Y, BrandD",Unlikely,No,
45-54,Prefer not to say,Emirati,Working Professional,"<5,000",Ras Al Khaimah,Frequently,Health Professionals,"Vegan, Gluten-Free, Diabetic","Water, Tea/Coffee, Milk",Somewhat Important,"Added Vitamins, Convenience","Lack of Time, Lack of Information, Limited Options, None",Supermarkets,5-10,Very Unlikely,Maybe,"Free Samples, Health Benefits, Other","Citrus, Tropical, Herbal, Chocolate, Other","Digestion, Weight Management, No Specific Issues","Not Tasty, Not Widely Available, Good Value, High Quality","Brand_Y, BrandD",Very Likely,Maybe,
35-44,Male,Asian Expat,Retired,">50,000",Abu Dhabi,Frequently,Social Media,Vegan,"Juices, Milk",Somewhat Important,"Taste, Affordable Price",None,Gyms,11-15,Very Unlikely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Citrus, Plain","Weight Management, Skin/Hair health","Not Widely Available, Good Value, High Quality","BrandA, Brand_X",Very Unlikely,No,
35-44,Male,Emirati,Student,"10,001-20,000",Abu Dhabi,Frequently,Health Professionals,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation","Limited Options, Taste Preferences",Other,<5,Very Unlikely,No,Health Benefits,"Plain, Other","Immunity, Energy, Skin/Hair health","Too Expensive, Not Widely Available, Good Value, High Quality, Innovative","Brand_T, BrandD",Very Likely,No,
45-54,Male,Western Expat,Business Owner,"<5,000",Dubai,Never,Magazines/TV,"Vegan, Lactose-Free","Water, Tea/Coffee, Milk, Other",Very Important,"Taste, Natural Ingredients, Affordable Price",Lack of Information,Supermarkets,<5,Very Unlikely,Maybe,"Discounts, Other","Berries, Citrus, Tropical, Chocolate, Plain, Other","Immunity, Digestion, Energy, Skin/Hair health","Not Widely Available, High Quality","BrandE, Brand_L",Neutral,No,
35-44,Other,Arab Expat,Retired,"35,001-50,000",Sharjah,Occasionally,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Milk, Other",Important,Added Vitamins,"Cost, Lack of Information, Limited Options, Taste Preferences",Other,<5,Likely,No,"Discounts, Attractive Packaging, Health Benefits","Berries, Tropical, Chocolate, Other","Immunity, Digestion, Stress Relief, No Specific Issues","Not Widely Available, Other","BrandE, Brand_S",Very Likely,Yes,
18-24,Female,Emirati,Homemaker,"20,001-35,000",Other,Daily,Friends/Family,"Vegetarian, Vegan","Water, Soft Drinks, Juices, Sports Drinks, Milk",Important,"Taste, Natural Ingredients, Affordable Price",Taste Preferences,Cafes/Restaurants,5-10,Very Likely,Maybe,"Discounts, Recommendations, Attractive Packaging","Berries, Plain, Other","Immunity, Weight Management, Stress Relief","Not Tasty, Innovative, Other","BrandB, Brand_U",Unlikely,No,
18-24,Male,Arab Expat,Other,"<5,000",Sharjah,Occasionally,Other,"Vegetarian, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Limited Options, Taste Preferences",Supermarkets,<5,Unlikely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal","Energy, Skin/Hair health","Not Tasty, Good Value, Innovative, Other","Brand_N, BrandB",Likely,No,
45-54,Other,Emirati,Other,"35,001-50,000",Ras Al Khaimah,Frequently,Social Media,"Vegetarian, Gluten-Free, Diabetic","Water, Energy Drinks",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Lack of Time, Lack of Information, Taste Preferences",Supermarkets,>25,Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging",Berries,"Immunity, Energy","Too Expensive, Not Tasty, Not Widely Available, High Quality","BrandC, Brand_P",Neutral,Yes,
Under 18,Prefer not to say,Asian Expat,Working Professional,"<5,000",Dubai,Never,Magazines/TV,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Convenience Stores,>25,Unlikely,Maybe,Health Benefits,"Berries, Plain","Digestion, Energy, Skin/Hair health","Not Tasty, High Quality, Other","BrandE, Brand_L",Unlikely,Yes,
45-54,Female,Emirati,Homemaker,"<5,000",Ras Al Khaimah,Rarely,Magazines/TV,"Vegetarian, Gluten-Free","Water, Sports Drinks, Milk",Not Important,"Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Time, Lack of Information, Limited Options, None",Supermarkets,16-25,Likely,Yes,"Free Samples, Health Benefits","Tropical, Chocolate","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief, No Specific Issues","Not Tasty, Innovative","BrandC, Brand_Y, BrandD",Neutral,No,
18-24,Female,Emirati,Working Professional,">50,000",Abu Dhabi,Never,Health Professionals,Gluten-Free,"Water, Juices, Energy Drinks, Milk",Very Important,"Low Sugar, Brand Reputation",Limited Options,Gyms,16-25,Likely,Yes,"Discounts, Recommendations, Other",Tropical,"Energy, Weight Management, Stress Relief","Not Widely Available, Other","BrandC, Brand_J",Very Likely,Yes,
55+,Female,Other,Business Owner,"10,001-20,000",Other,Occasionally,Other,"Vegetarian, Vegan, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Milk",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other",Taste Preferences,Convenience Stores,5-10,Neutral,Maybe,"Discounts, Attractive Packaging, Health Benefits, Other","Tropical, Chocolate, Plain","Energy, Weight Management, Stress Relief","Too Expensive, Not Tasty, Innovative, Other","BrandE, Brand_S",Very Likely,Maybe,
35-44,Male,Western Expat,Working Professional,"35,001-50,000",Ajman,Frequently,Magazines/TV,"Vegan, Gluten-Free","Water, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Added Vitamins, Affordable Price","Cost, Limited Options, None",Gyms,11-15,Likely,Yes,"Discounts, Recommendations, Health Benefits","Berries, Chocolate","Immunity, Digestion, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Good Value, High Quality","Brand_T, BrandD",Neutral,No,
25-34,Male,Asian Expat,Student,"35,001-50,000",Ajman,Daily,Social Media,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Somewhat Important,"Taste, Affordable Price","Lack of Time, Lack of Information, Taste Preferences, None",Cafes/Restaurants,16-25,Very Unlikely,Yes,"Free Samples, Recommendations, Health Benefits, Other","Citrus, Tropical, Herbal, Chocolate, Other","Energy, Skin/Hair health, Stress Relief","Not Tasty, Good Value, High Quality","Brand_N, BrandB",Neutral,No,
25-34,Male,Asian Expat,Working Professional,"5,000-10,000",Ajman,Never,Magazines/TV,"Vegan, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Very Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Cost, Lack of Information, Taste Preferences",Gyms,16-25,Very Likely,No,"Free Samples, Health Benefits","Berries, Herbal, Plain","Immunity, Energy, Stress Relief",Not Tasty,"BrandC, Brand_F",Very Likely,Maybe,
45-54,Male,Arab Expat,Working Professional,"5,000-10,000",Ras Al Khaimah,Occasionally,Friends/Family,"Gluten-Free, Lactose-Free, Diabetic","Water, Energy Drinks, Milk",Very Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation","Lack of Time, Cost, Lack of Information",Online,16-25,Unlikely,Yes,"Free Samples, Other","Tropical, Herbal, Chocolate, Other","Immunity, Energy, Skin/Hair health","Not Tasty, Not Widely Available","BrandE, BrandA",Neutral,Yes,
25-34,Prefer not to say,Emirati,Business Owner,"35,001-50,000",Ajman,Occasionally,Other,"Vegetarian, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Not Important,"Low Sugar, Affordable Price","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Gyms,16-25,Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Herbal","Immunity, Energy, No Specific Issues","Too Expensive, Not Tasty, Good Value","BrandA, Brand_M",Very Likely,Maybe,
55+,Other,Emirati,Homemaker,">50,000",Dubai,Rarely,Health Professionals,Vegetarian,"Water, Soft Drinks, Juices, Milk",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Limited Options, Taste Preferences, None",Supermarkets,<5,Very Likely,Maybe,"Free Samples, Health Benefits, Other","Berries, Citrus, Tropical, Herbal","Digestion, Stress Relief","Not Widely Available, Innovative","BrandE, BrandA",Neutral,Maybe,
25-34,Female,Emirati,Retired,"10,001-20,000",Other,Daily,Social Media,"Vegan, Gluten-Free, Diabetic","Water, Sports Drinks, Tea/Coffee",Somewhat Important,"Natural Ingredients, Convenience","Lack of Time, Cost",Other,16-25,Very Unlikely,Yes,Other,"Berries, Tropical, Herbal",Immunity,"Too Expensive, Not Tasty, Not Widely Available, High Quality","BrandC, BrandA, BrandD",Likely,Yes,
18-24,Other,Asian Expat,Retired,"<5,000",Abu Dhabi,Occasionally,Friends/Family,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Very Important,"Taste, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Limited Options, None",Convenience Stores,5-10,Likely,Maybe,"Free Samples, Health Benefits","Citrus, Herbal, Chocolate","Digestion, Energy, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available","BrandC, Brand_M",Neutral,Yes,
45-54,Female,Other,Student,"20,001-35,000",Sharjah,Daily,Magazines/TV,"Vegetarian, Lactose-Free","Water, Juices, Sports Drinks, Tea/Coffee, Milk",Somewhat Important,"Taste, Natural Ingredients, Brand Reputation","Lack of Time, Cost, Lack of Information, None",Convenience Stores,<5,Likely,No,"Free Samples, Discounts, Attractive Packaging","Herbal, Plain","Immunity, Stress Relief, No Specific Issues","Too Expensive, Not Widely Available, Innovative","BrandC, Brand_U",Neutral,No,
Under 18,Female,Arab Expat,Working Professional,">50,000",Abu Dhabi,Frequently,Other,"Vegetarian, Gluten-Free, Lactose-Free","Water, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Lack of Information, Limited Options, Taste Preferences, None",Convenience Stores,<5,Very Likely,Maybe,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Chocolate","Immunity, Energy, Weight Management, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available, Innovative",BrandA,Unlikely,No,
25-34,Female,Emirati,Business Owner,"<5,000",Dubai,Never,Other,Vegetarian,"Water, Soft Drinks, Juices, Milk",Somewhat Important,"Natural Ingredients, Added Vitamins, Affordable Price, Other","Lack of Time, Cost",Other,5-10,Very Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Citrus, Tropical","Immunity, Weight Management, No Specific Issues","Innovative, Other","BrandB, Brand_M",Likely,No,
35-44,Female,Other,Business Owner,"20,001-35,000",Other,Occasionally,Social Media,Lactose-Free,"Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Not Important,"Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation","Lack of Time, Lack of Information",Gyms,11-15,Likely,No,Free Samples,"Berries, Plain, Other",Digestion,"Not Widely Available, Good Value, Innovative","BrandA, Brand_I",Very Likely,Yes,
45-54,Prefer not to say,Western Expat,Retired,"10,001-20,000",Sharjah,Frequently,Health Professionals,"Vegetarian, Gluten-Free","Water, Soft Drinks, Juices, Tea/Coffee",Extremely Important,"Natural Ingredients, Affordable Price, Brand Reputation","Cost, Lack of Information, Limited Options",Cafes/Restaurants,16-25,Very Likely,No,"Free Samples, Discounts, Health Benefits, Other","Plain, Other",Digestion,Innovative,"Brand_Q, BrandA",Very Likely,No,
55+,Prefer not to say,Asian Expat,Business Owner,"5,000-10,000",Ajman,Rarely,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Milk, Other",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Lack of Time, Cost, Limited Options, Taste Preferences",Online,>25,Very Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits, Other",Plain,"Immunity, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Innovative","BrandC, BrandD",Very Unlikely,Maybe,
18-24,Female,Western Expat,Homemaker,"35,001-50,000",Sharjah,Daily,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Tea/Coffee, Other",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Other","Cost, Limited Options, Taste Preferences",Supermarkets,11-15,Likely,Maybe,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Other","Energy, Weight Management, Skin/Hair health, Stress Relief",Too Expensive,"BrandC, BrandA, BrandD",Likely,No,
25-34,Female,Asian Expat,Working Professional,"10,001-20,000",Ras Al Khaimah,Frequently,Social Media,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee",Somewhat Important,"Taste, Added Vitamins, Affordable Price, Other","Cost, None",Cafes/Restaurants,16-25,Likely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other",Tropical,"Immunity, Digestion, Energy, Weight Management","Too Expensive, Not Tasty, High Quality","BrandC, Brand_U",Likely,Yes,
18-24,Male,Arab Expat,Other,"20,001-35,000",Ras Al Khaimah,Daily,Social Media,"Vegetarian, Vegan, Gluten-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Somewhat Important,"Taste, Affordable Price",Lack of Time,Convenience Stores,>25,Unlikely,Maybe,"Recommendations, Attractive Packaging","Tropical, Chocolate","Immunity, Digestion, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, BrandB, Brand_V",Neutral,Yes,
55+,Female,Western Expat,Retired,">50,000",Ajman,Daily,Friends/Family,"Gluten-Free, Diabetic","Water, Energy Drinks, Sports Drinks, Tea/Coffee",Very Important,"Natural Ingredients, Added Vitamins, Affordable Price","Limited Options, Taste Preferences",Supermarkets,<5,Neutral,No,Other,"Berries, Tropical, Herbal, Plain","Digestion, Weight Management, Stress Relief","Good Value, High Quality, Innovative","BrandD, Brand_R",Unlikely,No,
Under 18,Other,Arab Expat,Retired,"35,001-50,000",Ajman,Occasionally,Other,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Important,"Taste, Added Vitamins, Convenience","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Gyms,<5,Very Unlikely,Maybe,"Attractive Packaging, Health Benefits","Berries, Tropical, Chocolate, Plain","Digestion, Energy, Skin/Hair health, Stress Relief",Not Tasty,"BrandE, Brand_Q",Very Likely,Yes,
25-34,Prefer not to say,Arab Expat,Student,"20,001-35,000",Dubai,Daily,Other,"Vegan, Diabetic","Water, Soft Drinks, Juices, Sports Drinks",Not Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Cost, Lack of Information, Limited Options, Taste Preferences",Cafes/Restaurants,<5,Very Likely,Yes,"Recommendations, Attractive Packaging","Berries, Citrus, Tropical","Digestion, Energy, Stress Relief","Not Widely Available, Good Value","Brand_Y, BrandD",Very Likely,Yes,
